Asset_Class,Sub-Asset_Class
Cash and demand deposits,Cash balances at central banks
Cash and demand deposits,Cash on hand
Cash and demand deposits,Other demand deposits
Hedge accounting derivatives,Hedge accounting derivatives
Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Amortised cost financial assets,Debt securities
Amortised cost financial assets,Loans and advances
Financial assets in other  income,Debt securities
Financial assets in other  income,Equity instruments
Financial assets in other  income,Loans and advances
Designated valued financial assets,Debt securities
Designated valued financial assets,Loans and advances
Trading financial assets,Debt securities
Trading financial assets,Derivatives
Trading financial assets,Equity instruments
Trading financial assets,Loans and advances
Intangible assets,Goodwill
Intangible assets,Other intangible assets
"Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Non-current assets for sale,Non-current assets for sale
Mandatorily valued non-trading  assets,Debt securities
Mandatorily valued non-trading  assets,Equity instruments
Mandatorily valued non-trading  assets,Loans and advances
Other assets,Other assets
Tangible assets,Investment property
Tangible assets,"Property, Plant and Equipment"
Tax assets,Current tax assets
Tax assets,Deferred tax assets
(TBC),(TBC)
