Id,Asset class,Emission factor type,Country,Data level 1 information,Data level 2 information,EPC Rating,Emission factor functional unit (name),Emission factor functional unit (unit),Emission factor (name),Emission factor (unit),PCAF data quality score,Emission factor
3,Commercial real estate,Emissions,Austria,Non-Residential buildings,Office,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0552993
4,Commercial real estate,Emissions,Austria,Non-Residential buildings,Retail - High Street,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0603776
5,Commercial real estate,Emissions,Austria,Non-Residential buildings,Retail - Shopping Center,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0478864
6,Commercial real estate,Emissions,Austria,Non-Residential buildings,Retail - Strip Mall,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0537091
7,Commercial real estate,Emissions,Austria,Non-Residential buildings,Hotel,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.056071
8,Commercial real estate,Emissions,Austria,Non-Residential buildings,Industrial distribution warehouse,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0245719
9,Commercial real estate,Emissions,Austria,Non-Residential buildings,Healthcare,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0761216
10,Commercial real estate,Emissions,Austria,Non-Residential buildings,Leisure and sports facilities,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0614242
12,Commercial real estate,Emissions,Austria,Non-Residential buildings,Non-Residential Total,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0525718
15,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Office,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0600415
16,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Retail - High Street,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0659229
17,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Retail - Shopping Center,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0521972
18,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Retail - Strip Mall,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.058231
19,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Hotel,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0598097
20,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Industrial distribution warehouse,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0258231
21,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Healthcare,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0797189
22,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Leisure and sports facilities,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0654039
24,Commercial real estate,Emissions,Belgium,Non-Residential buildings,Non-Residential Total,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0614772
27,Commercial real estate,Emissions,Bulgaria,Non-Residential buildings,Office,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0809822
28,Commercial real estate,Emissions,Bulgaria,Non-Residential buildings,Retail - High Street,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0923781
29,Commercial real estate,Emissions,Bulgaria,Non-Residential buildings,Retail - Shopping Center,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0723265
30,Commercial real estate,Emissions,Bulgaria,Non-Residential buildings,Retail - Strip Mall,,Floor area,m²,Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,4,0.0777496
