Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Europe,CSDDD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,CSDDD,,Consumer,Automotive,(TBC),(TBC),(TBC)
Europe,CSDDD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,CSDDD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Europe,CSDDD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,CSDDD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Europe,CSDDD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,CSDDD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,CSDDD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,CSDDD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Europe,CSDDD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Europe,CSDDD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,CSDDD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,CSDDD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Europe,CSDDD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Europe,CSDDD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Europe,CSDDD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,CSDDD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Europe,CSDDD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Europe,CSDDD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Europe,CSDDD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Consumer,Automotive,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,CSRD,ESRS,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
