Reporting/Assessment Type,NACE,Applicable Sector,Activity,Objective,Attributes,Values
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Insulation additions
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Window type
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Door type 
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Light source type 
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,"Heating, ventilation, air-conditioning or water heating-systems with highly efficient technologies"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Low water and energy using kitchen and sanitary water fittings
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12",Construction & Real Estate,"Installation, maintenance and repair of energy efficiency equipment",CCM & SCC,Equipment type - Energy efficiency,Water flow (L/min)
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & SCC,Equipment type - Energy performance,"Zoned thermostats, smart thermostats systems or sensing equipment"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & SCC,Equipment type - Energy performance,"Building automation and control systems, building energy mangement systems, lighting control systems and energy management systems"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & SCC,Equipment type - Energy performance,"Smart meter for gas, heat, cool or electricity"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM & SCC,Equipment type - Energy performance,Facade and roofing elements with a solar shading or solar control function
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Installation site,Must be installed on-site as technical building system
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Activity type,"Installation, maintenance, upgrade and repair"
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Maturity type,Solar photovoltaic systems and the acillary technical equipment
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Solar hot water panels and the ancillary technical equipment
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Heat pumps with specific renewable energy target
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Wind turbines and the ancillary technical equipment
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Solar transpired collectors and the ancillary technical equipment
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Thermal or electric energy storage units and the ancillary technical equipment
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,High efficiency micro CHP plant
EU Taxonomy Assessment,"F42, F43, M71, C16, C17, C22, C23, C25, C27, C28",Construction & Real Estate,"Installation, maintenance and repair of renewable energy technologies",CCM & SCC,Equipment type - Energy production ,Heat exchanger/recovery systems
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA & SCC,Renovation requirements,"Renovation complies with national requirements, implementing EU Directive, for major renovations "
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,Controls,Quality control processes are in place during the construction process
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Water appliances,Specified water use attest
EU Taxonomy Assessment,"F41, F43",Construction & Real Estate,Renovation of existing buildings,CCA/CCM & DNSH,Water appliances,Technical specifications
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Activity requirements,"Specific requirements (Measures are taken to reduce noise, dust and pollutant emissions.)"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Biodiversity,Appendix D
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Building deisgn and construction techniques,"Specific criteria (Deisgn and techniques support circularity and demonstrate recource efficiency, adaptability, flexibility and dismantlble to enable reuse and recycling)"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,Building type,Residential building or not
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA & DNSH,Building use,"Not dedicated to extraction, storage, transport or manufacture of fossil fuels"
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & DNSH,Climate Adaptation,Appendix A
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA & SCC,Climate Adaptation (Generic adaptation criteria),Generic Values
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Construction investigation,Investigation for potential contaminants
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Construction location,Potentially contaminated site (brownfield site) or not
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCA/CCM & DNSH,Construction location,Specific land-location requirements
EU Taxonomy Assessment,"F41.1, F41.2, F43",Construction & Real Estate,Construction of new buildings,CCM & SCC,Energy demand (PED),PED do not exceed the thershold in nearly zero-energy building
