#,NACE,Sector,Activity number,Activity ,Objective,SCC/DNSH,Attributes,Values
1,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan,Area is covered by an afforestation plan
2,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan criteria,Duration of at least five years or the minimum period prescribed in national law
3,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan criteria,Developed prior to the start of activity
4,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan criteria,"Continously updated, until area matches definition of forest in national law or FAO definition"
5,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest definition,Area matches definition of forest as in national law or FAO definition
6,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan criteria,Contains all elements required relating to environmental impact assessment
7,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Area description according to gazetting land registry
8,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Site preparation and impacts on pre-existing carbon stocks
9,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Management goals and constraints
10,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Strategy and activities to reach management goals
11,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Forest habitat context
12,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Public accesses and physical features
13,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Measures deployed to establish and maintain good conditions and ecosystem
14,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Consideration of societal issues
15,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,"Assessment of forest related risks (forest fires, etc.)"
16,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,Assessment of impact on food security
17,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan contents,All DNSH criteria related to afforestation
18,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest management plan,Post afforestation forest area is covered by a forest management plan
19,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan criteria,Duration of at least ten years or more
20,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan criteria,Continously updated
21,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Management goals and constraints
22,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Strategy and activities to reach management goals
23,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Forest habitat context
24,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Public accesses and physical features
25,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Measures deployed to establish and maintain good conditions and ecosystem
26,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,Consideration of societal issues
27,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,"Assessment of forest related risks (forest fires, etc.)"
28,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan contents,All DNSH criteria related to afforestation
29,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,Complies with best afforestation practices in national law
30,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,Complies with regulation
31,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,Complies with UNFCCC guidelines
32,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,No degradation of land with high carbon stock
33,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,Management system complies with dd. obligation and legality requirements
34,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest plan criteria,Provide for monitoring that ensures correctness of the information
35,A2,Forestry,1.1,Afforestation,CCM,SCC,Afforestation plan criteria,Provide for monitoring that ensures correctness of the information
36,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirements,Area complies with requirements at forest sourcing area level to ensure carbon stocks and sinks levels are maintained and strengthened
37,A2,Forestry,1.1,Afforestation,CCM,SCC,GHG emissions,Total GHG emissions
38,A2,Forestry,1.1,Afforestation,CCM,SCC,GHG removal,Total GHG removal
39,A2,Forestry,1.1,Afforestation,CCM,SCC,Net balance GHG,"Net balance of GHG is lower than a baseline over a period of 30 years, corresponding to business-as-usual"
40,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity requirement,Long-term benefits are demonstrated by proof of alignment
41,A2,Forestry,1.1,Afforestation,CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term average net GHG balance
42,A2,Forestry,1.1,Afforestation,CCM,SCC,Long-term (100 years or lifecycle) net balance of GHG emisssions,Long-term net balance of GHG emissions are lower than the baseline
43,A2,Forestry,1.1,Afforestation,CCM,SCC,Calculation of climate benefit criteria,Analysis complient with guidelines
44,A2,Forestry,1.1,Afforestation,CCM,SCC,Calculation of climate benefit criteria,Specific calculaton criterias
45,A2,Forestry,1.1,Afforestation,CCM,SCC,Business-as-usual information,Business-as-usual practices are the management practices as documented in the latest version of the forest management plan or equivalent
46,A2,Forestry,1.1,Afforestation,CCM,SCC,Business-as-usual information,Business-as-usual practicesis the most recent business-as-usual before start of activity
47,A2,Forestry,1.1,Afforestation,CCM,SCC,Business-as-usual information,Practices corresponding to a management ensuring carbon stocks and sinks levels are maintained or strengthened
48,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest holding size,Size of forest holding
49,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest holding size,Forest holding area is under 13ha
50,A2,Forestry,1.1,Afforestation,CCM,SCC,Forest status of the area,"Classified in the permanent forest estate, classified as a protected area, or is subject to a guarantee ensuring it will remain a forest"
51,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity operator requirements,Operator commits that future updates will conture to seek the climate benefits determined in point 2
52,A2,Forestry,1.1,Afforestation,CCM,SCC,Activity operator requirements,Operator commits to compensate any reduction in the climate benefit determined in point 2.
53,A2,Forestry,1.1,Afforestation,CCM,SCC,Start date,Start date of activity
54,A2,Forestry,1.1,Afforestation,CCM,SCC,Third party validation,Within two years after the start date of the activity and every 10 years thereafter
55,A2,Forestry,1.1,Afforestation,CCM,SCC,Verification subjects,"Relevant national competent authorities, or independent third-party certifier"
56,A2,Forestry,1.1,Afforestation,CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of the forest sourcing area
57,A2,Forestry,1.1,Afforestation,CCM,SCC,Compliance assessment,Compliance with ssc and dnsh criteria may be checked at the level of a group of holdings sufficiently homogeneous to evaluate the risk of the sustainability of the forest activity
58,A2,Forestry,1.1,Afforestation,CCM,DNSH,Climate adaptation,Appendix A
59,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Water,Appendix B
60,A2,Forestry,1.1,Afforestation,CCM/CCA,DNSH,Pollution prevention,The use of pesticides is reduced
